Stazione,Inquinante,Data,Ora,Valore,"Unità di misura"
"Riva del Garda",PM10,2023-02-04,15,130,µg/mc
"Riva del Garda",PM10,2023-02-04,16,139,µg/mc
"Riva del Garda",PM10,2023-02-04,17,145,µg/mc
"Riva del Garda",PM10,2023-02-04,18,147,µg/mc
"Riva del Garda",PM10,2023-02-04,19,141,µg/mc
"Riva del Garda",PM10,2023-02-04,20,141,µg/mc
"Riva del Garda",PM10,2023-02-04,21,135,µg/mc
"Riva del Garda",PM10,2023-02-04,22,127,µg/mc
"Riva del Garda",PM10,2023-02-04,23,114,µg/mc
"Riva del Garda",PM10,2023-02-04,24,100,µg/mc
"Riva del Garda",PM10,2023-02-05,1,89,µg/mc
"Riva del Garda",PM10,2023-02-05,2,75,µg/mc
"Riva del Garda",PM10,2023-02-05,3,43,µg/mc
"Riva del Garda",PM10,2023-02-05,4,31,µg/mc
"Riva del Garda",PM10,2023-02-05,5,29,µg/mc
"Riva del Garda",PM10,2023-02-05,6,26,µg/mc
"Riva del Garda",PM10,2023-02-05,7,22,µg/mc
"Riva del Garda",PM10,2023-02-05,8,21,µg/mc
"Riva del Garda",PM10,2023-02-05,9,23,µg/mc
"Riva del Garda",PM10,2023-02-05,10,17,µg/mc
"Riva del Garda",PM10,2023-02-05,11,7,µg/mc
"Riva del Garda",PM10,2023-02-05,12,5,µg/mc
"Riva del Garda",PM10,2023-02-05,13,5,µg/mc
"Riva del Garda",PM10,2023-02-05,14,5,µg/mc
"Riva del Garda",PM10,2023-02-05,15,6,µg/mc
"Riva del Garda",PM10,2023-02-05,16,6,µg/mc
"Riva del Garda",PM10,2023-02-05,17,7,µg/mc
"Riva del Garda",PM10,2023-02-05,18,8,µg/mc
"Riva del Garda",PM10,2023-02-05,19,11,µg/mc
"Riva del Garda",PM10,2023-02-05,20,12,µg/mc
"Riva del Garda",PM10,2023-02-05,21,9,µg/mc
"Riva del Garda",PM10,2023-02-05,22,7,µg/mc
"Riva del Garda",PM10,2023-02-05,23,6,µg/mc
"Riva del Garda",PM10,2023-02-05,24,6,µg/mc
"Riva del Garda",PM10,2023-02-06,1,5,µg/mc
"Riva del Garda",PM10,2023-02-06,2,5,µg/mc
"Riva del Garda",PM10,2023-02-06,3,5,µg/mc
"Riva del Garda",PM10,2023-02-06,4,5,µg/mc
"Riva del Garda",PM10,2023-02-06,5,5,µg/mc
"Riva del Garda",PM10,2023-02-06,6,5,µg/mc
"Riva del Garda",PM10,2023-02-06,7,7,µg/mc
"Riva del Garda",PM10,2023-02-06,8,8,µg/mc
"Riva del Garda",PM10,2023-02-06,9,12,µg/mc
"Riva del Garda",PM10,2023-02-06,10,11,µg/mc
"Riva del Garda",PM10,2023-02-06,13,13,µg/mc
"Riva del Garda",PM10,2023-02-06,14,13,µg/mc
"Riva del Garda",PM10,2023-02-06,15,14,µg/mc
"Riva del Garda",PM10,2023-02-06,16,16,µg/mc
"Riva del Garda",PM10,2023-02-06,17,19,µg/mc
"Riva del Garda",PM10,2023-02-06,18,18,µg/mc
"Riva del Garda",PM10,2023-02-06,19,17,µg/mc
"Riva del Garda",PM10,2023-02-06,20,20,µg/mc
"Riva del Garda",PM10,2023-02-06,21,23,µg/mc
"Riva del Garda",PM10,2023-02-06,22,22,µg/mc
"Riva del Garda",PM10,2023-02-06,23,31,µg/mc
"Riva del Garda",PM10,2023-02-06,24,29,µg/mc
"Riva del Garda",PM10,2023-02-07,1,25,µg/mc
"Riva del Garda",PM10,2023-02-07,2,22,µg/mc
"Riva del Garda",PM10,2023-02-07,3,18,µg/mc
"Riva del Garda",PM10,2023-02-07,4,17,µg/mc
"Riva del Garda",PM10,2023-02-07,5,16,µg/mc
"Riva del Garda",PM10,2023-02-07,6,16,µg/mc
"Riva del Garda",PM10,2023-02-07,7,21,µg/mc
"Riva del Garda",PM10,2023-02-07,8,25,µg/mc
"Riva del Garda",PM10,2023-02-07,9,32,µg/mc
"Riva del Garda",PM10,2023-02-07,10,25,µg/mc
"Riva del Garda",PM10,2023-02-07,11,18,µg/mc
"Riva del Garda",PM10,2023-02-07,12,22,µg/mc
"Riva del Garda",PM10,2023-02-07,13,22,µg/mc
"Riva del Garda",PM10,2023-02-07,14,21,µg/mc
"Riva del Garda",PM10,2023-02-07,15,20,µg/mc
"Riva del Garda",PM10,2023-02-07,16,20,µg/mc
"Riva del Garda",PM10,2023-02-07,17,24,µg/mc
"Riva del Garda",PM10,2023-02-07,18,28,µg/mc
"Riva del Garda",PM10,2023-02-07,19,29,µg/mc
"Riva del Garda",PM10,2023-02-07,20,32,µg/mc
"Riva del Garda",PM10,2023-02-07,21,32,µg/mc
"Riva del Garda",PM10,2023-02-07,22,43,µg/mc
"Riva del Garda",PM10,2023-02-07,23,51,µg/mc
"Riva del Garda",PM10,2023-02-07,24,47,µg/mc
"Riva del Garda",PM10,2023-02-08,1,44,µg/mc
"Riva del Garda",PM10,2023-02-08,2,39,µg/mc
"Riva del Garda",PM10,2023-02-08,3,38,µg/mc
"Riva del Garda",PM10,2023-02-08,4,36,µg/mc
"Riva del Garda",PM10,2023-02-08,5,35,µg/mc
"Riva del Garda",PM10,2023-02-08,6,33,µg/mc
"Riva del Garda",PM10,2023-02-08,7,35,µg/mc
"Riva del Garda",PM10,2023-02-08,8,40,µg/mc
"Riva del Garda",PM10,2023-02-08,9,43,µg/mc
"Riva del Garda",PM10,2023-02-08,10,35,µg/mc
"Riva del Garda",PM10,2023-02-08,11,27,µg/mc
"Riva del Garda",PM10,2023-02-08,12,21,µg/mc
"Riva del Garda",PM10,2023-02-08,13,23,µg/mc
"Riva del Garda",PM10,2023-02-08,14,30,µg/mc
"Riva del Garda",PM10,2023-02-08,15,30,µg/mc
"Riva del Garda",PM10,2023-02-08,16,29,µg/mc
"Riva del Garda",PM10,2023-02-08,17,29,µg/mc
"Riva del Garda",PM10,2023-02-08,18,31,µg/mc
"Riva del Garda",PM10,2023-02-08,19,33,µg/mc
"Riva del Garda",PM10,2023-02-08,20,37,µg/mc
"Riva del Garda",PM10,2023-02-08,21,36,µg/mc
"Riva del Garda",PM10,2023-02-08,22,37,µg/mc
"Riva del Garda",PM10,2023-02-08,23,30,µg/mc
"Riva del Garda",PM10,2023-02-08,24,21,µg/mc
"Riva del Garda",PM10,2023-02-09,1,13,µg/mc
"Riva del Garda",PM10,2023-02-09,2,23,µg/mc
"Riva del Garda",PM10,2023-02-09,3,27,µg/mc
"Riva del Garda",PM10,2023-02-09,4,24,µg/mc
"Riva del Garda",PM10,2023-02-09,5,18,µg/mc
"Riva del Garda",PM10,2023-02-09,6,19,µg/mc
"Riva del Garda",PM10,2023-02-09,7,19,µg/mc
"Riva del Garda",PM10,2023-02-09,8,25,µg/mc
"Riva del Garda",PM10,2023-02-09,9,22,µg/mc
"Riva del Garda",PM10,2023-02-09,10,21,µg/mc
"Riva del Garda",PM10,2023-02-09,11,19,µg/mc
"Riva del Garda",PM10,2023-02-09,12,19,µg/mc
"Riva del Garda",PM10,2023-02-09,13,21,µg/mc
"Riva del Garda",PM10,2023-02-09,14,21,µg/mc
"Riva del Garda",PM10,2023-02-09,15,18,µg/mc
"Riva del Garda",PM10,2023-02-09,16,22,µg/mc
"Riva del Garda",PM10,2023-02-09,17,25,µg/mc
"Riva del Garda",PM10,2023-02-09,18,23,µg/mc
"Riva del Garda",PM10,2023-02-09,19,26,µg/mc
"Riva del Garda",PM10,2023-02-09,20,27,µg/mc
"Riva del Garda",PM10,2023-02-09,21,34,µg/mc
"Riva del Garda",PM10,2023-02-09,22,42,µg/mc
"Riva del Garda",PM10,2023-02-09,23,43,µg/mc
"Riva del Garda",PM10,2023-02-09,24,41,µg/mc
"Riva del Garda",PM10,2023-02-10,1,38,µg/mc
"Riva del Garda",PM10,2023-02-10,2,34,µg/mc
"Riva del Garda",PM10,2023-02-10,3,30,µg/mc
"Riva del Garda",PM10,2023-02-10,4,27,µg/mc
"Riva del Garda",PM10,2023-02-10,5,25,µg/mc
"Riva del Garda",PM10,2023-02-10,6,23,µg/mc
"Riva del Garda",PM10,2023-02-10,7,22,µg/mc
"Riva del Garda",PM10,2023-02-10,8,24,µg/mc
"Riva del Garda",PM10,2023-02-10,9,29,µg/mc
"Riva del Garda",PM10,2023-02-10,10,21,µg/mc
"Riva del Garda",PM10,2023-02-10,11,18,µg/mc
"Riva del Garda",PM10,2023-02-10,12,16,µg/mc
"Riva del Garda",PM10,2023-02-10,13,15,µg/mc
"Riva del Garda",PM10,2023-02-10,14,14,µg/mc
"Riva del Garda",PM10,2023-02-10,15,16,µg/mc
"Riva del Garda",PM10,2023-02-10,16,23,µg/mc
"Riva del Garda",PM10,2023-02-10,17,25,µg/mc
"Riva del Garda",PM10,2023-02-10,18,30,µg/mc
"Riva del Garda",PM10,2023-02-10,19,29,µg/mc
"Riva del Garda",PM10,2023-02-10,20,40,µg/mc
"Riva del Garda",PM10,2023-02-10,21,58,µg/mc
"Riva del Garda",PM10,2023-02-10,22,53,µg/mc
"Riva del Garda",PM10,2023-02-10,23,45,µg/mc
"Riva del Garda",PM10,2023-02-10,24,39,µg/mc
"Riva del Garda",PM10,2023-02-11,1,30,µg/mc
"Riva del Garda",PM10,2023-02-11,2,24,µg/mc
"Riva del Garda",PM10,2023-02-11,3,21,µg/mc
"Riva del Garda",PM10,2023-02-11,4,19,µg/mc
"Riva del Garda",PM10,2023-02-11,5,15,µg/mc
"Riva del Garda",PM10,2023-02-11,6,15,µg/mc
"Riva del Garda",PM10,2023-02-11,7,14,µg/mc
"Riva del Garda",PM10,2023-02-11,8,17,µg/mc
"Riva del Garda",PM10,2023-02-11,9,24,µg/mc
"Riva del Garda",PM10,2023-02-11,10,17,µg/mc
"Riva del Garda",PM10,2023-02-11,11,14,µg/mc
"Riva del Garda",PM10,2023-02-11,12,13,µg/mc
"Riva del Garda",PM10,2023-02-11,13,13,µg/mc
"Riva del Garda",PM10,2023-02-11,14,12,µg/mc
"Riva del Garda",PM10,2023-02-11,15,15,µg/mc
"Riva del Garda",PM10,2023-02-11,16,17,µg/mc
"Riva del Garda",PM10,2023-02-11,17,18,µg/mc
"Riva del Garda",PM10,2023-02-11,18,30,µg/mc
"Riva del Garda",PM10,2023-02-11,19,34,µg/mc
"Riva del Garda",PM10,2023-02-11,20,57,µg/mc
"Riva del Garda",PM10,2023-02-11,21,58,µg/mc
"Riva del Garda",PM10,2023-02-11,22,50,µg/mc
"Riva del Garda",PM10,2023-02-11,23,37,µg/mc
"Riva del Garda",PM10,2023-02-11,24,27,µg/mc
"Riva del Garda",PM10,2023-02-12,1,20,µg/mc
"Riva del Garda",PM10,2023-02-12,2,16,µg/mc
"Riva del Garda",PM10,2023-02-12,3,11,µg/mc
"Riva del Garda",PM10,2023-02-12,4,9,µg/mc
"Riva del Garda",PM10,2023-02-12,5,9,µg/mc
"Riva del Garda",PM10,2023-02-12,6,7,µg/mc
"Riva del Garda",PM10,2023-02-12,7,7,µg/mc
"Riva del Garda",PM10,2023-02-12,8,8,µg/mc
"Riva del Garda",PM10,2023-02-12,9,12,µg/mc
"Riva del Garda",PM10,2023-02-12,10,8,µg/mc
"Riva del Garda",PM10,2023-02-12,11,9,µg/mc
"Riva del Garda",PM10,2023-02-12,12,29,µg/mc
"Riva del Garda",PM10,2023-02-12,13,42,µg/mc
"Riva del Garda",PM10,2023-02-12,14,47,µg/mc
"Riva del Garda",PM10,2023-02-12,15,40,µg/mc
"Riva del Garda",PM10,2023-02-12,16,39,µg/mc
"Riva del Garda",PM10,2023-02-12,17,47,µg/mc
"Riva del Garda",PM10,2023-02-12,18,49,µg/mc
"Riva del Garda",PM10,2023-02-12,19,63,µg/mc
"Riva del Garda",PM10,2023-02-12,20,75,µg/mc
"Riva del Garda",PM10,2023-02-12,21,69,µg/mc
"Riva del Garda",PM10,2023-02-12,22,77,µg/mc
"Riva del Garda",PM10,2023-02-12,23,76,µg/mc
"Riva del Garda",PM10,2023-02-12,24,66,µg/mc
"Riva del Garda",PM10,2023-02-13,1,56,µg/mc
"Riva del Garda",PM10,2023-02-13,2,49,µg/mc
"Riva del Garda",PM10,2023-02-13,3,44,µg/mc
"Riva del Garda",PM10,2023-02-13,4,41,µg/mc
"Riva del Garda",PM10,2023-02-13,5,37,µg/mc
"Riva del Garda",PM10,2023-02-13,6,31,µg/mc
"Riva del Garda",PM10,2023-02-13,7,29,µg/mc
"Riva del Garda",PM10,2023-02-13,8,30,µg/mc
"Riva del Garda",PM10,2023-02-13,9,34,µg/mc
"Riva del Garda",PM10,2023-02-13,10,28,µg/mc
"Riva del Garda",PM10,2023-02-13,11,26,µg/mc
"Riva del Garda",PM10,2023-02-13,12,24,µg/mc
"Riva del Garda",PM10,2023-02-13,13,27,µg/mc
"Riva del Garda",PM10,2023-02-13,14,24,µg/mc
"Riva del Garda",PM10,2023-02-13,15,22,µg/mc
"Riva del Garda",PM10,2023-02-13,16,28,µg/mc
"Riva del Garda",PM10,2023-02-13,17,30,µg/mc
"Riva del Garda",PM10,2023-02-13,18,37,µg/mc
"Riva del Garda",PM10,2023-02-13,19,41,µg/mc
"Riva del Garda",PM10,2023-02-13,20,47,µg/mc
"Riva del Garda",PM10,2023-02-13,21,56,µg/mc
"Riva del Garda",PM10,2023-02-13,22,56,µg/mc
"Riva del Garda",PM10,2023-02-13,23,51,µg/mc
"Riva del Garda",PM10,2023-02-13,24,46,µg/mc
"Riva del Garda",PM10,2023-02-14,1,40,µg/mc
"Riva del Garda",PM10,2023-02-14,2,37,µg/mc
"Riva del Garda",PM10,2023-02-14,3,31,µg/mc
"Riva del Garda",PM10,2023-02-14,4,27,µg/mc
"Riva del Garda",PM10,2023-02-14,5,23,µg/mc
"Riva del Garda",PM10,2023-02-14,6,19,µg/mc
"Riva del Garda",PM10,2023-02-14,7,19,µg/mc
"Riva del Garda",PM10,2023-02-14,8,18,µg/mc
"Riva del Garda",PM10,2023-02-14,9,26,µg/mc
"Riva del Garda",PM10,2023-02-14,10,15,µg/mc
"Riva del Garda",PM10,2023-02-14,11,13,µg/mc
"Riva del Garda",PM10,2023-02-14,12,11,µg/mc
"Riva del Garda",PM10,2023-02-14,13,10,µg/mc
"Riva del Garda",PM10,2023-02-14,14,9,µg/mc
"Riva del Garda",PM10,2023-02-14,15,9,µg/mc
"Riva del Garda",PM10,2023-02-14,16,13,µg/mc
"Riva del Garda",PM10,2023-02-14,17,21,µg/mc
"Riva del Garda",PM10,2023-02-14,18,27,µg/mc
"Riva del Garda",PM10,2023-02-14,19,33,µg/mc
"Riva del Garda",PM10,2023-02-14,20,51,µg/mc
"Riva del Garda",PM10,2023-02-14,21,45,µg/mc
"Riva del Garda",PM10,2023-02-14,22,34,µg/mc
"Riva del Garda",PM10,2023-02-14,23,26,µg/mc
"Riva del Garda",PM10,2023-02-14,24,23,µg/mc
"Riva del Garda",PM10,2023-02-15,1,14,µg/mc
"Riva del Garda",PM10,2023-02-15,2,11,µg/mc
"Riva del Garda",PM10,2023-02-15,3,8,µg/mc
"Riva del Garda",PM10,2023-02-15,4,6,µg/mc
"Riva del Garda",PM10,2023-02-15,5,5,µg/mc
"Riva del Garda",PM10,2023-02-15,6,6,µg/mc
"Riva del Garda",PM10,2023-02-15,7,7,µg/mc
"Riva del Garda",PM10,2023-02-15,8,13,µg/mc
"Riva del Garda",PM10,2023-02-15,9,26,µg/mc
"Riva del Garda",PM10,2023-02-15,10,11,µg/mc
"Riva del Garda",PM10,2023-02-15,11,10,µg/mc
"Riva del Garda",PM10,2023-02-15,12,10,µg/mc
"Riva del Garda",PM10,2023-02-15,13,9,µg/mc
"Riva del Garda",PM10,2023-02-15,14,10,µg/mc
"Riva del Garda",PM10,2023-02-15,15,15,µg/mc
"Riva del Garda",PM10,2023-02-15,16,21,µg/mc
"Riva del Garda",PM10,2023-02-15,17,25,µg/mc
"Riva del Garda",PM10,2023-02-15,18,26,µg/mc
"Riva del Garda",PM10,2023-02-15,19,34,µg/mc
"Riva del Garda",PM10,2023-02-15,20,47,µg/mc
"Riva del Garda",PM10,2023-02-15,21,57,µg/mc
"Riva del Garda",PM10,2023-02-15,22,59,µg/mc
"Riva del Garda",PM10,2023-02-15,23,51,µg/mc
"Riva del Garda",PM10,2023-02-15,24,50,µg/mc
"Riva del Garda",PM10,2023-02-16,1,40,µg/mc
"Riva del Garda",PM10,2023-02-16,2,35,µg/mc
"Riva del Garda",PM10,2023-02-16,3,28,µg/mc
"Riva del Garda",PM10,2023-02-16,4,24,µg/mc
"Riva del Garda",PM10,2023-02-16,5,21,µg/mc
"Riva del Garda",PM10,2023-02-16,6,17,µg/mc
"Riva del Garda",PM10,2023-02-16,7,18,µg/mc
"Riva del Garda",PM10,2023-02-16,8,19,µg/mc
"Riva del Garda",PM10,2023-02-16,9,30,µg/mc
"Riva del Garda",PM10,2023-02-16,10,26,µg/mc
"Riva del Garda",PM10,2023-02-16,11,17,µg/mc
"Riva del Garda",PM10,2023-02-16,12,14,µg/mc
"Riva del Garda",PM10,2023-02-16,13,19,µg/mc
"Riva del Garda",PM10,2023-02-16,14,22,µg/mc
"Riva del Garda",PM10,2023-02-16,15,45,µg/mc
"Riva del Garda",PM10,2023-02-16,16,64,µg/mc
"Riva del Garda",PM10,2023-02-16,17,95,µg/mc
"Riva del Garda",PM10,2023-02-16,18,90,µg/mc
"Riva del Garda",PM10,2023-02-16,19,96,µg/mc
"Riva del Garda",PM10,2023-02-16,20,99,µg/mc
"Riva del Garda",PM10,2023-02-16,21,103,µg/mc
"Riva del Garda",PM10,2023-02-16,22,105,µg/mc
"Riva del Garda",PM10,2023-02-16,23,115,µg/mc
"Riva del Garda",PM10,2023-02-16,24,110,µg/mc
