Stazione,Inquinante,Data,Ora,Valore,"Unità di misura"
"Riva del Garda",PM10,2020-11-23,16,21,µg/mc
"Riva del Garda",PM10,2020-11-23,17,22,µg/mc
"Riva del Garda",PM10,2020-11-23,18,34,µg/mc
"Riva del Garda",PM10,2020-11-23,19,45,µg/mc
"Riva del Garda",PM10,2020-11-23,20,60,µg/mc
"Riva del Garda",PM10,2020-11-23,21,52,µg/mc
"Riva del Garda",PM10,2020-11-23,22,53,µg/mc
"Riva del Garda",PM10,2020-11-23,23,43,µg/mc
"Riva del Garda",PM10,2020-11-23,24,35,µg/mc
"Riva del Garda",PM10,2020-11-24,1,29,µg/mc
"Riva del Garda",PM10,2020-11-24,2,22,µg/mc
"Riva del Garda",PM10,2020-11-24,3,16,µg/mc
"Riva del Garda",PM10,2020-11-24,4,12,µg/mc
"Riva del Garda",PM10,2020-11-24,5,10,µg/mc
"Riva del Garda",PM10,2020-11-24,6,10,µg/mc
"Riva del Garda",PM10,2020-11-24,7,12,µg/mc
"Riva del Garda",PM10,2020-11-24,8,16,µg/mc
"Riva del Garda",PM10,2020-11-24,9,22,µg/mc
"Riva del Garda",PM10,2020-11-24,10,19,µg/mc
"Riva del Garda",PM10,2020-11-24,11,16,µg/mc
"Riva del Garda",PM10,2020-11-24,12,14,µg/mc
"Riva del Garda",PM10,2020-11-24,13,13,µg/mc
"Riva del Garda",PM10,2020-11-24,14,14,µg/mc
"Riva del Garda",PM10,2020-11-24,15,17,µg/mc
"Riva del Garda",PM10,2020-11-24,16,17,µg/mc
"Riva del Garda",PM10,2020-11-24,17,28,µg/mc
"Riva del Garda",PM10,2020-11-24,18,37,µg/mc
"Riva del Garda",PM10,2020-11-24,19,48,µg/mc
"Riva del Garda",PM10,2020-11-24,20,49,µg/mc
"Riva del Garda",PM10,2020-11-24,21,50,µg/mc
"Riva del Garda",PM10,2020-11-24,22,43,µg/mc
"Riva del Garda",PM10,2020-11-24,23,35,µg/mc
"Riva del Garda",PM10,2020-11-24,24,26,µg/mc
"Riva del Garda",PM10,2020-11-25,1,19,µg/mc
"Riva del Garda",PM10,2020-11-25,2,14,µg/mc
"Riva del Garda",PM10,2020-11-25,3,10,µg/mc
"Riva del Garda",PM10,2020-11-25,4,9,µg/mc
"Riva del Garda",PM10,2020-11-25,5,8,µg/mc
"Riva del Garda",PM10,2020-11-25,6,7,µg/mc
