Stazione,Inquinante,Data,Ora,Valore,"Unità di misura"
"Riva del Garda",PM10,2021-02-26,21,90,µg/mc
"Riva del Garda",PM10,2021-02-26,22,95,µg/mc
"Riva del Garda",PM10,2021-02-26,23,84,µg/mc
"Riva del Garda",PM10,2021-02-26,24,68,µg/mc
"Riva del Garda",PM10,2021-02-27,1,57,µg/mc
"Riva del Garda",PM10,2021-02-27,2,44,µg/mc
"Riva del Garda",PM10,2021-02-27,3,37,µg/mc
"Riva del Garda",PM10,2021-02-27,4,31,µg/mc
"Riva del Garda",PM10,2021-02-27,5,30,µg/mc
"Riva del Garda",PM10,2021-02-27,6,30,µg/mc
"Riva del Garda",PM10,2021-02-27,7,28,µg/mc
"Riva del Garda",PM10,2021-02-27,8,32,µg/mc
"Riva del Garda",PM10,2021-02-27,9,37,µg/mc
"Riva del Garda",PM10,2021-02-27,10,35,µg/mc
"Riva del Garda",PM10,2021-02-27,11,31,µg/mc
"Riva del Garda",PM10,2021-02-27,12,27,µg/mc
"Riva del Garda",PM10,2021-02-27,13,21,µg/mc
"Riva del Garda",PM10,2021-02-27,14,27,µg/mc
"Riva del Garda",PM10,2021-02-27,15,43,µg/mc
"Riva del Garda",PM10,2021-02-27,16,48,µg/mc
"Riva del Garda",PM10,2021-02-27,17,58,µg/mc
"Riva del Garda",PM10,2021-02-27,18,62,µg/mc
"Riva del Garda",PM10,2021-02-27,19,57,µg/mc
"Riva del Garda",PM10,2021-02-27,20,55,µg/mc
"Riva del Garda",PM10,2021-02-27,21,55,µg/mc
"Riva del Garda",PM10,2021-02-27,22,60,µg/mc
"Riva del Garda",PM10,2021-02-27,23,54,µg/mc
"Riva del Garda",PM10,2021-02-27,24,48,µg/mc
"Riva del Garda",PM10,2021-02-28,1,48,µg/mc
"Riva del Garda",PM10,2021-02-28,2,42,µg/mc
"Riva del Garda",PM10,2021-02-28,3,36,µg/mc
"Riva del Garda",PM10,2021-02-28,4,33,µg/mc
"Riva del Garda",PM10,2021-02-28,5,29,µg/mc
"Riva del Garda",PM10,2021-02-28,6,26,µg/mc
"Riva del Garda",PM10,2021-02-28,7,25,µg/mc
"Riva del Garda",PM10,2021-02-28,8,25,µg/mc
"Riva del Garda",PM10,2021-02-28,9,22,µg/mc
"Riva del Garda",PM10,2021-02-28,10,20,µg/mc
"Riva del Garda",PM10,2021-02-28,11,24,µg/mc
"Riva del Garda",PM10,2021-02-28,12,16,µg/mc
"Riva del Garda",PM10,2021-02-28,13,17,µg/mc
"Riva del Garda",PM10,2021-02-28,14,17,µg/mc
"Riva del Garda",PM10,2021-02-28,15,16,µg/mc
"Riva del Garda",PM10,2021-02-28,16,17,µg/mc
"Riva del Garda",PM10,2021-02-28,17,18,µg/mc
"Riva del Garda",PM10,2021-02-28,18,21,µg/mc
"Riva del Garda",PM10,2021-02-28,19,30,µg/mc
"Riva del Garda",PM10,2021-02-28,20,30,µg/mc
"Riva del Garda",PM10,2021-02-28,21,28,µg/mc
"Riva del Garda",PM10,2021-02-28,22,33,µg/mc
"Riva del Garda",PM10,2021-02-28,23,32,µg/mc
"Riva del Garda",PM10,2021-02-28,24,30,µg/mc
"Riva del Garda",PM10,2021-03-01,1,26,µg/mc
"Riva del Garda",PM10,2021-03-01,2,24,µg/mc
"Riva del Garda",PM10,2021-03-01,3,21,µg/mc
"Riva del Garda",PM10,2021-03-01,4,20,µg/mc
"Riva del Garda",PM10,2021-03-01,5,18,µg/mc
"Riva del Garda",PM10,2021-03-01,6,16,µg/mc
"Riva del Garda",PM10,2021-03-01,7,16,µg/mc
"Riva del Garda",PM10,2021-03-01,8,20,µg/mc
"Riva del Garda",PM10,2021-03-01,9,16,µg/mc
"Riva del Garda",PM10,2021-03-01,10,12,µg/mc
"Riva del Garda",PM10,2021-03-01,11,11,µg/mc
"Riva del Garda",PM10,2021-03-01,12,9,µg/mc
"Riva del Garda",PM10,2021-03-01,13,8,µg/mc
"Riva del Garda",PM10,2021-03-01,14,13,µg/mc
"Riva del Garda",PM10,2021-03-01,15,20,µg/mc
"Riva del Garda",PM10,2021-03-01,16,21,µg/mc
"Riva del Garda",PM10,2021-03-01,17,33,µg/mc
"Riva del Garda",PM10,2021-03-01,18,25,µg/mc
"Riva del Garda",PM10,2021-03-01,19,32,µg/mc
"Riva del Garda",PM10,2021-03-01,20,37,µg/mc
"Riva del Garda",PM10,2021-03-01,21,34,µg/mc
"Riva del Garda",PM10,2021-03-01,22,48,µg/mc
"Riva del Garda",PM10,2021-03-01,23,38,µg/mc
"Riva del Garda",PM10,2021-03-01,24,31,µg/mc
"Riva del Garda",PM10,2021-03-02,1,25,µg/mc
"Riva del Garda",PM10,2021-03-02,2,17,µg/mc
"Riva del Garda",PM10,2021-03-02,3,16,µg/mc
"Riva del Garda",PM10,2021-03-02,4,13,µg/mc
"Riva del Garda",PM10,2021-03-02,5,12,µg/mc
"Riva del Garda",PM10,2021-03-02,6,12,µg/mc
"Riva del Garda",PM10,2021-03-02,7,12,µg/mc
"Riva del Garda",PM10,2021-03-02,8,15,µg/mc
"Riva del Garda",PM10,2021-03-02,9,16,µg/mc
"Riva del Garda",PM10,2021-03-02,10,14,µg/mc
"Riva del Garda",PM10,2021-03-02,11,10,µg/mc
"Riva del Garda",PM10,2021-03-02,12,9,µg/mc
"Riva del Garda",PM10,2021-03-02,13,14,µg/mc
"Riva del Garda",PM10,2021-03-02,14,19,µg/mc
"Riva del Garda",PM10,2021-03-02,15,21,µg/mc
"Riva del Garda",PM10,2021-03-02,16,26,µg/mc
"Riva del Garda",PM10,2021-03-02,17,34,µg/mc
"Riva del Garda",PM10,2021-03-02,18,36,µg/mc
"Riva del Garda",PM10,2021-03-02,19,41,µg/mc
"Riva del Garda",PM10,2021-03-02,20,35,µg/mc
"Riva del Garda",PM10,2021-03-02,21,39,µg/mc
"Riva del Garda",PM10,2021-03-02,22,54,µg/mc
"Riva del Garda",PM10,2021-03-02,23,52,µg/mc
"Riva del Garda",PM10,2021-03-02,24,44,µg/mc
"Riva del Garda",PM10,2021-03-03,1,36,µg/mc
"Riva del Garda",PM10,2021-03-03,2,30,µg/mc
"Riva del Garda",PM10,2021-03-03,3,28,µg/mc
"Riva del Garda",PM10,2021-03-03,4,26,µg/mc
"Riva del Garda",PM10,2021-03-03,5,23,µg/mc
"Riva del Garda",PM10,2021-03-03,6,21,µg/mc
"Riva del Garda",PM10,2021-03-03,7,20,µg/mc
"Riva del Garda",PM10,2021-03-03,8,19,µg/mc
"Riva del Garda",PM10,2021-03-03,9,17,µg/mc
"Riva del Garda",PM10,2021-03-03,10,15,µg/mc
"Riva del Garda",PM10,2021-03-03,11,13,µg/mc
"Riva del Garda",PM10,2021-03-03,12,12,µg/mc
"Riva del Garda",PM10,2021-03-03,13,11,µg/mc
"Riva del Garda",PM10,2021-03-03,14,11,µg/mc
"Riva del Garda",PM10,2021-03-03,15,17,µg/mc
"Riva del Garda",PM10,2021-03-03,16,26,µg/mc
"Riva del Garda",PM10,2021-03-03,17,38,µg/mc
"Riva del Garda",PM10,2021-03-03,18,45,µg/mc
"Riva del Garda",PM10,2021-03-03,19,38,µg/mc
"Riva del Garda",PM10,2021-03-03,20,43,µg/mc
"Riva del Garda",PM10,2021-03-03,21,59,µg/mc
"Riva del Garda",PM10,2021-03-03,22,59,µg/mc
"Riva del Garda",PM10,2021-03-03,23,60,µg/mc
"Riva del Garda",PM10,2021-03-03,24,54,µg/mc
"Riva del Garda",PM10,2021-03-04,1,47,µg/mc
"Riva del Garda",PM10,2021-03-04,2,42,µg/mc
"Riva del Garda",PM10,2021-03-04,3,36,µg/mc
"Riva del Garda",PM10,2021-03-04,4,31,µg/mc
"Riva del Garda",PM10,2021-03-04,5,29,µg/mc
"Riva del Garda",PM10,2021-03-04,6,24,µg/mc
"Riva del Garda",PM10,2021-03-04,7,24,µg/mc
"Riva del Garda",PM10,2021-03-04,8,24,µg/mc
"Riva del Garda",PM10,2021-03-04,9,24,µg/mc
"Riva del Garda",PM10,2021-03-04,10,21,µg/mc
"Riva del Garda",PM10,2021-03-04,11,17,µg/mc
"Riva del Garda",PM10,2021-03-04,12,18,µg/mc
"Riva del Garda",PM10,2021-03-04,13,24,µg/mc
"Riva del Garda",PM10,2021-03-04,14,30,µg/mc
"Riva del Garda",PM10,2021-03-04,15,37,µg/mc
"Riva del Garda",PM10,2021-03-04,16,51,µg/mc
"Riva del Garda",PM10,2021-03-04,17,59,µg/mc
"Riva del Garda",PM10,2021-03-04,18,64,µg/mc
"Riva del Garda",PM10,2021-03-04,19,60,µg/mc
"Riva del Garda",PM10,2021-03-04,20,64,µg/mc
"Riva del Garda",PM10,2021-03-04,21,61,µg/mc
"Riva del Garda",PM10,2021-03-04,22,68,µg/mc
"Riva del Garda",PM10,2021-03-04,23,69,µg/mc
"Riva del Garda",PM10,2021-03-04,24,68,µg/mc
"Riva del Garda",PM10,2021-03-05,1,60,µg/mc
"Riva del Garda",PM10,2021-03-05,2,53,µg/mc
