Stazione,Inquinante,Data,Ora,Valore,"Unità di misura"
"Riva del Garda",PM10,2022-11-15,18,37,µg/mc
"Riva del Garda",PM10,2022-11-15,19,33,µg/mc
"Riva del Garda",PM10,2022-11-15,20,33,µg/mc
"Riva del Garda",PM10,2022-11-15,21,36,µg/mc
"Riva del Garda",PM10,2022-11-15,22,22,µg/mc
"Riva del Garda",PM10,2022-11-15,23,20,µg/mc
"Riva del Garda",PM10,2022-11-15,24,16,µg/mc
"Riva del Garda",PM10,2022-11-16,1,14,µg/mc
"Riva del Garda",PM10,2022-11-16,2,13,µg/mc
"Riva del Garda",PM10,2022-11-16,3,13,µg/mc
"Riva del Garda",PM10,2022-11-16,4,12,µg/mc
"Riva del Garda",PM10,2022-11-16,5,11,µg/mc
"Riva del Garda",PM10,2022-11-16,6,12,µg/mc
"Riva del Garda",PM10,2022-11-16,7,11,µg/mc
"Riva del Garda",PM10,2022-11-16,8,11,µg/mc
"Riva del Garda",PM10,2022-11-16,9,16,µg/mc
"Riva del Garda",PM10,2022-11-16,10,12,µg/mc
"Riva del Garda",PM10,2022-11-16,11,12,µg/mc
"Riva del Garda",PM10,2022-11-16,12,11,µg/mc
"Riva del Garda",PM10,2022-11-16,13,8,µg/mc
"Riva del Garda",PM10,2022-11-16,14,8,µg/mc
"Riva del Garda",PM10,2022-11-16,15,10,µg/mc
"Riva del Garda",PM10,2022-11-16,16,16,µg/mc
"Riva del Garda",PM10,2022-11-16,17,16,µg/mc
"Riva del Garda",PM10,2022-11-16,18,18,µg/mc
"Riva del Garda",PM10,2022-11-16,19,27,µg/mc
"Riva del Garda",PM10,2022-11-16,20,28,µg/mc
"Riva del Garda",PM10,2022-11-16,21,35,µg/mc
"Riva del Garda",PM10,2022-11-16,22,28,µg/mc
"Riva del Garda",PM10,2022-11-16,23,21,µg/mc
"Riva del Garda",PM10,2022-11-16,24,17,µg/mc
"Riva del Garda",PM10,2022-11-17,1,16,µg/mc
"Riva del Garda",PM10,2022-11-17,2,12,µg/mc
"Riva del Garda",PM10,2022-11-17,3,11,µg/mc
"Riva del Garda",PM10,2022-11-17,4,10,µg/mc
"Riva del Garda",PM10,2022-11-17,5,9,µg/mc
"Riva del Garda",PM10,2022-11-17,6,7,µg/mc
"Riva del Garda",PM10,2022-11-17,7,9,µg/mc
"Riva del Garda",PM10,2022-11-17,8,11,µg/mc
"Riva del Garda",PM10,2022-11-17,9,15,µg/mc
"Riva del Garda",PM10,2022-11-17,10,14,µg/mc
"Riva del Garda",PM10,2022-11-17,11,8,µg/mc
"Riva del Garda",PM10,2022-11-17,12,7,µg/mc
"Riva del Garda",PM10,2022-11-17,13,7,µg/mc
"Riva del Garda",PM10,2022-11-17,14,8,µg/mc
"Riva del Garda",PM10,2022-11-17,15,9,µg/mc
"Riva del Garda",PM10,2022-11-17,16,15,µg/mc
"Riva del Garda",PM10,2022-11-17,17,18,µg/mc
"Riva del Garda",PM10,2022-11-17,18,22,µg/mc
"Riva del Garda",PM10,2022-11-17,19,19,µg/mc
"Riva del Garda",PM10,2022-11-17,20,30,µg/mc
"Riva del Garda",PM10,2022-11-17,21,36,µg/mc
"Riva del Garda",PM10,2022-11-17,22,26,µg/mc
"Riva del Garda",PM10,2022-11-17,23,24,µg/mc
"Riva del Garda",PM10,2022-11-17,24,24,µg/mc
"Riva del Garda",PM10,2022-11-18,1,20,µg/mc
"Riva del Garda",PM10,2022-11-18,2,18,µg/mc
"Riva del Garda",PM10,2022-11-18,3,16,µg/mc
"Riva del Garda",PM10,2022-11-18,4,13,µg/mc
"Riva del Garda",PM10,2022-11-18,5,14,µg/mc
"Riva del Garda",PM10,2022-11-18,6,12,µg/mc
"Riva del Garda",PM10,2022-11-18,7,12,µg/mc
"Riva del Garda",PM10,2022-11-18,8,15,µg/mc
"Riva del Garda",PM10,2022-11-18,9,16,µg/mc
"Riva del Garda",PM10,2022-11-18,10,17,µg/mc
"Riva del Garda",PM10,2022-11-18,11,11,µg/mc
"Riva del Garda",PM10,2022-11-18,12,8,µg/mc
"Riva del Garda",PM10,2022-11-18,13,6,µg/mc
"Riva del Garda",PM10,2022-11-18,14,5,µg/mc
"Riva del Garda",PM10,2022-11-18,15,7,µg/mc
"Riva del Garda",PM10,2022-11-18,16,12,µg/mc
"Riva del Garda",PM10,2022-11-18,17,13,µg/mc
